partNumber,name,category,sourceCategory,material
4000,Ladder 16 x 4 with Semi-Circular Pivot,special,"Bars, Ladders and Fences",Plastic
40001,"Technic Steering Wheel Pilot's Yoke [Open Stud, Axle Hole with X Opening]",technic,"Technic Steering, Suspension and Engine",Plastic
40002c09,"Cable, Fiber Optics, Wide 9L / 7.2cm",technic,Electronics,Plastic
40002c10,"Cable, Fiber Optics, Wide 10L / 8.0cm",technic,Electronics,Plastic
40002c12,"Cable, Fiber Optics, Wide 12L / 9.6cm",technic,Electronics,Plastic
40002c20,"Cable, Fiber Optics, Wide 20L / 16.0cm",technic,Electronics,Plastic
40002c24,"Cable, Fiber Optics, Wide 24L / 19.2cm",technic,Electronics,Plastic
40002c25,"Cable, Fiber Optics, Wide 25L / 20.0cm",technic,Electronics,Plastic
40002c28,"Cable, Fiber Optics, Wide 28L / 22.4cm",technic,Electronics,Plastic
4006,Tool Screwdriver and Spanner / Wrench,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40066,Panel 1 x 6 x 7 with 2 Columns and Arch,bricks,Panels,Plastic
4009pr0001,"Duplo Animal Horse / Pony, Eyes Solid Black",bricks,"Duplo, Quatro and Primo",Plastic
4009pr0002,"Duplo Animal Horse/Pony, Black & White Eyes Print",bricks,"Duplo, Quatro and Primo",Plastic
4010pr0001,"Duplo Animal Cow, Solid Black Eyes (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
4010pr0002,"Duplo Animal Cow, Black and White Eyes Print (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
40115,Sticker Sheet 1 for Set 75222-1,special,Stickers,Plastic
40116,Sticker Sheet 2 for Set 75222-1,special,Stickers,Plastic
4011pr0001,"Duplo Animal Pig, Short, Solid Black Eyes (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
4011pr0002,"Duplo Animal Pig, Tall, Black and White Eyes (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
4012pr0001,"Duplo Animal Sheep, with Solid Black Eyes (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
4012pr0002,"Duplo Animal Sheep, with Black and White Eyes Print (Old Style)",bricks,"Duplo, Quatro and Primo",Plastic
