partNumber,name,category,sourceCategory,material
b3057,"Idea Book, Master Builders Create 'n' Race",technic,Gear Parts,Plastic
b3058,"Idea Book, Master Builders Busy City",technic,Gear Parts,Plastic
b3059,"Idea Book, Master Builders Mars Mission",technic,Gear Parts,Plastic
belfig0001pr0001,"Belville Figure Baby, Dark Orange Hair, Prince Charming Light Blue with Crown Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0002,"Belville Figure Baby, Light Yellow Hair, Dark Pink Butterfly Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0003,"Belville Figure Baby, Light Yellow Hair, Crown Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0004,"Belville Figure Baby, Light Yellow Hair, Pink Clothes and Green Collar Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0005,"Belville Figure Baby, Nougat Hair, Duck Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0006,"Belville Figure Baby, Nougat Hair, Bear Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0001pr0007,"Belville Figure Baby, Nougat Hair",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c01pr0001,"Belville Figure Fixed Elbows, Male, Light Yellow Hair, Black Pants, White Shirt, Dark Purple Waistcoat with Gold Trim, Black Shoes (King)",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c01pr0002,"Belville Figure Fixed Elbows, Male, Black Hair, Black Legs, White Arms, Light Lime, Sky Blue, and White Argyle Top",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c01pr0003,"Belville Figure Fixed Elbows, Male, Black Hair, Black Pants, Light Blue Shirt with White and Gold Fur Pattern on Shoulders and Gold Fastenings on Front",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c01pr0004,"Belville Figure Fixed Elbows, Male, Brown Hair, Light Blue Shirt with Net and Seashell Print, Blue Swimsuit",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c01pr0005,"Belville Figure Fixed Elbows, Male, Black Hair, Light Blue Shirt, Blue Short Pants",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0001,"Belville Figure Fixed Elbows, Female, Tan Hair, Light Yellow Hair, Bright Pink Shoes (Queen)",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0002,"Belville Figure Fixed Elbows, Female, Sand Blue Hair, Sky Blue Top with Scarf and Spider Print, Magenta Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0003,"Belville Figure Fixed Elbows, Female, Rust Orange Hair, Swimsuit with Seashell Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0004,"Belville Figure Fixed Elbows, Female, Tan Hair, Dark Pink Shoes, Pink Top (Princess)",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0005,"Belville Figure Fixed Elbows, Female, Light Yellow Hair, White Top with Purple Flower Neckline",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0006,"Belville Figure Fixed Elbows, Female, Black Hair, Light Blue Top, Violet Hips (Snow Queen)",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c02pr0007,"Belville Figure Fixed Elbows, Female, Light Yellow Hair, Dark Pink Top, Flowers Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0001,"Belville Figure Fixed Elbows, Child, Female, Light Yellow Hair, Blue Eyes, Light Blue Swimsuit and Stars Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0002,"Belville Figure Fixed Elbows, Child, Female, Brown Hair and Pink Shirt",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0003,"Belville Figure Fixed Elbows, Child, Female, Black Ponytail and Orange Shirt with Horse Head",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0004,"Belville Figure Fixed Elbows, Child, Female, Light Yellow Hair Long, Bright Pink Top, Magenta Shoes",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0005,"Belville Figure Fixed Elbows, Child, Female, Black Hair Long, Bright Pink Top, Magenta Shoes",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
belfig0002c03pr0006,"Belville Figure Fixed Elbows, Child, Female, Tan Hair, Dark Pink Shoes",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
