partNumber,name,category,sourceCategory,material
carbasemi,"Vehicle Base, Minitalia Brick Special 16 x 6 with 4 wheels",special,Transportation - Land,Plastic
carbasemia,"Vehicle Base, Minitalia Brick Special 16 x 6 with 4 Wheels for 132-old Tires",special,Transportation - Land,Plastic
cardupn0001pr0001,"Trading Card, Harry Potter, Sticker - Harry Potter and Hedwig (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0002,"Trading Card, Harry Potter, Sticker - Harry Potter and Hermione Granger",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0003,"Trading Card, Harry Potter, Sticker - Hermione Granger (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0004,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0005,"Trading Card, Harry Potter, Sticker - Hermione Granger",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0006,"Trading Card, Harry Potter, Sticker - Ron Weasley and Scabbers (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0007,"Trading Card, Harry Potter, Sticker - Post Owl (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0008,"Trading Card, Harry Potter, Sticker - Vernon Dursley and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0009,"Trading Card, Harry Potter, Sticker - Rubeus Hagrid and Dudley Dursley (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0010,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0011,"Trading Card, Harry Potter, Sticker - Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0012,"Trading Card, Harry Potter, Sticker - Post Owls (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0013,"Trading Card, Harry Potter, Sticker - Harry Potter and Rubeus Hagrid",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0014,"Trading Card, Harry Potter, Sticker - Goblin",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0015,"Trading Card, Harry Potter, Sticker - Harry Potter and Garrick Ollivander",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0016,"Trading Card, Harry Potter, Sticker - Hedwig, Rubeus Hagrid and Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0017,"Trading Card, Harry Potter, Sticker - Hogwarts Students",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0018,"Trading Card, Harry Potter, Sticker - Professor Filius Flitwick and Professor Minerva McGonagall",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0019,"Trading Card, Harry Potter, Sticker - Professor Severus Snape",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0020,"Trading Card, Harry Potter, Sticker - Harry Potter and Hedwig",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0021,"Trading Card, Harry Potter, Sticker - Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0022,"Trading Card, Harry Potter, Sticker - Molly Weasley and George Weasley / Fred Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0023,"Trading Card, Harry Potter, Sticker - Hogwarts and Boats",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0024,"Trading Card, Harry Potter, Sticker - Harry Potter and Draco Malfoy (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0025,"Trading Card, Harry Potter, Sticker - The Sorting Hat (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0026,"Trading Card, Harry Potter, Sticker - Professor Minerva McGonagall (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0027,"Trading Card, Harry Potter, Sticker - Hogwarts Students",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0028,"Trading Card, Harry Potter, Sticker - Rubeus Hagrid",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0029,"Trading Card, Harry Potter, Sticker - Nearly Headless Nick",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0030,"Trading Card, Harry Potter, Sticker - Professor Minerva McGonagall",technic,Gear Parts,Cardboard/Paper
