partNumber,name,category,sourceCategory,material
dupfig0001pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Dog, White Head, Looking Left Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0001pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Dog, White Head, Looking Right Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Black, Wide Smile Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Green, Moustache Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0003,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Blue, Moustache Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0004,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Black, Small Smile Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0005,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Blue, Wide Smile Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0002pr0006,"Duplo 2 x 2 x 2 Figure Brick Early, Police Hat Red, Wide Smile Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0003pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Sailor Hat Blue, Freckles Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0004pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Aviator Hat Brown, Moustache Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0004pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Aviator Hat Brown, Looking Straight Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0004pr0003,"Duplo 2 x 2 x 2 Figure Brick Early, Aviator Hat Brown, Looking Left Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0005pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Cowboy Hat Fabuland Brown, Looking Left Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0005pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Cowboy Hat Fabuland Brown, Looking Right Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0005pr0003,"Duplo 2 x 2 x 2 Figure Brick Early, Cowboy Hat Light Gray, Looking Left Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0006pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Chef Hat White, Mustache Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0007pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Bowler Hat Yellow",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0007pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Bowler Hat Black",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0008pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Cat, White Head, White Hair with Ears, Cat Face Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0009pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Short Spiky Hair Brown, Freckles Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0009pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Short Spiky Hair Red, Nose Freckles Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0009pr0003,"Duplo 2 x 2 x 2 Figure Brick Early, Short Spiky Hair Red, Cheek Freckles Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0009pr0004,"Duplo 2 x 2 x 2 Figure Brick Early, Short Spiky Hair Brown, Cheek Freckles Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0009pr0005,"Duplo 2 x 2 x 2 Figure Brick Early, Short Spiky Hair Red, Clown Make-up Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0010pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Helmet Red, Smile Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0010pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Helmet Red, Moustache Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0011pr0001,"Duplo 2 x 2 x 2 Figure Brick Early, Long Swept Hair Light Gray, Glasses Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0011pr0002,"Duplo 2 x 2 x 2 Figure Brick Early, Long Swept Hair Brown, Eyelashes Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0011pr0003,"Duplo 2 x 2 x 2 Figure Brick Early, Long Swept Hair Fabuland Brown, Eyelashes Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0011pr0004,"Duplo 2 x 2 x 2 Figure Brick Early, Long Swept Hair Black, Eyelashes, Looking Straight Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
dupfig0011pr0005,"Duplo 2 x 2 x 2 Figure Brick Early, Long Swept Hair Black, Eyelashes, Looking Right Print",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
