partNumber,name,category,sourceCategory,material
fabfig0001c01pr0001,"Fabuland Figure Bernard Bear with Brown Head, Blue Torso, Arms and Hands and Red Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c02pr0001,"Fabuland Figure Barney Bear with Brown Head, Red Torso, Yellow Arms and Hands and Black Legs Bear 2 [Barney]",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c03pr0001,Fabuland Figure Panda 2,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c04pr0001,Fabuland Figure Panda 1,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c05pr0001,Fabuland Figure Raccoon 1,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c05pr0002,Fabuland Figure Raccoon 2,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c06pr0001,"Fabuland Figure Billy Bear with Black Head, White Torso, Black Arms, Hands and Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c07pr0001,Fabuland Figure Raccoon,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c08pr0001,Fabuland Figure Raccoon - White Torso with Yellow Arms and Hands - Black Legs,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0001c08pr0002,Fabuland Figure Raccoon 4,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c01pr0001,"Fabuland Figure Boris Bulldog with White Head, Blue Torso, Arms and Hands, and Yellow Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c02pr0001,"Fabuland Figure Bertie Bulldog with Brown Head, Blue Torso, Arms and Hands, and Black Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c03pr0001,"Fabuland Figure Bertie Bulldog with Brown Head, Red Torso, Arms and Hands, and Yellow Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c04pr0001,"Fabuland Figure Bertie Bulldog with Brown Head, Blue Torso, Arms and Hands, Black Legs and Red Fireman Helmet",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c05pr0001,"Fabuland Figure Bertie Bulldog with Brown Head, Red Torso, Arms and Hands, Yellow Legs and Red Fireman Helmet",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c06pr0001,"Fabuland Figure Barty Bulldog with Brown Head, Red Torso with Gold Buttons, Red Arms and Hands, Black Legs and Red Fireman Helmet",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c07pr0001,"Fabuland Figure Bertie Bulldog with White Head, Red Torso, Arms and Hands, Black Legs and Red Fireman Helmet",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c07pr0002,"Fabuland Figure Barty Bulldog with White Head, Red Torso with Black Buttons, Red Arms and Hands, Black Legs and Red Fireman Helmet",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c08pr0001,"Fabuland Figure Bertie Bulldog with Brown Head, Blue Torso, Arms and Hands, Black Legs and Black Police Hat",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c09pr0001,"Fabuland Figure Constable Clarke Bulldog with White Head, Blue Torso, Arms and Hands, Black Legs and Black Police Hat",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c10pr0001,"Fabuland Figure Boris Bulldog with White Head, Blue Torso, Arms and Hands, Yellow Legs and Blue Police Hat",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c10pr0002,"Fabuland Figure Boris Bulldog with White Head, Gold Buttons, Blue Arms and Hands, Yellow Legs and Blue Postman Hat",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0002c11pr0001,"Fabuland Figure Bertie Bulldog with White Head, Red Torso, Arms and Hands, and Black Legs",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0003c01pr0001,Fabuland Figure Bunny 1,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0003c02pr0001,Fabuland Figure Bunny 2,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0003c03pr0001,Fabuland Figure Bunny 3,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0003c03pr0002,Fabuland Figure Bunny 4 - Red Collar Print,special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
fabfig0004c01pr0001,"Fabuland Figure, Charlie Cat",special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
