partNumber,name,category,sourceCategory,material
m3001,Minitalia Brick 2 x 4 with Centre Cross Supports,bricks,Bricks,Plastic
m3003,Minitalia Brick 2 x 2 with Bottom X Support,bricks,Bricks,Plastic
mx1374,Modulex Furniture Side Table 2 x 4 x 3,special,Modulex,Plastic
mx1566,Modulex Window 1 x 6 x 6,special,Modulex,Plastic
mx1566pr0001,Modulex Window 1 x 6 x 6 with White Border Print,special,Modulex,Plastic
mx1566pr0002,Modulex Window 1 x 6 x 6 with Gray Border Print,special,Modulex,Plastic
mx1566pr0003,Modulex Window 1 x 6 x 6 with Black Border Print,special,Modulex,Plastic
mx1566pr0004,Modulex Window 1 x 6 x 6 with Brown Border Print,special,Modulex,Plastic
Mx1576,Modulex Window 1 x 7 x 6,special,Modulex,Plastic
Mx1576pr0001,Modulex Window 1 x 7 x 6 with White Border Print,special,Modulex,Plastic
Mx1576pr0002,Modulex Window 1 x 7 x 6 with Gray Border Print,special,Modulex,Plastic
Mx1576pr0003,Modulex Window 1 x 7 x 6 with Black Border Print,special,Modulex,Plastic
Mx1576pr0004,Modulex Window 1 x 7 x 6 with Brown Border Print,special,Modulex,Plastic
