partNumber,name,category,sourceCategory,material
scafig0001,Scala Figure Female Young (Marie with Long Hair),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0002,Scala Figure Female Adult (Mother),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0003,Scala Figure Female Adult (Kate),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0004,Scala Figure Female (Caroline),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0006,Scala Figure Female (Lotte),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0007,Scala Figure Female (Marie),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0008,Scala Figure Male Adult (Christian),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0009,Scala Figure Female Youth (Carla),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0010,Scala Figure Female Adult (Olivia),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0011,Scala Figure Female (Andrea - Old Style Face),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0012,Scala Figure Female (Marita),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0013pr0001,Scala Baby with Large Blue Eyes Print (Thomas),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
scafig0013pr0002,Scala Baby with Small Blue Eyes Print (Thomas),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
stickerupn0001,Sticker Sheet for Set 1177-1,special,Stickers,Plastic
stickerupn0003,Sticker Sheet 2 for Set 3181-2,special,Stickers,Plastic
stickerupn0004,Sticker Sheet for Set 7924-1,special,Stickers,Plastic
stickerupn0006,Sticker Sheet for Set LLOLLI-1,special,Stickers,Plastic
stickerupn0007,Sticker Sheet for Set 5000644-1,special,Stickers,Plastic
stickerupn0008,Sticker Sheet for Set 6043191-1,special,Stickers,Plastic
stickerupn0009,Sticker Sheet for Set SWMP - LEGO Logo for Mosaic,special,Stickers,Plastic
stickerupn0010,Sticker Sheet for Set TRUCOGSWORTH-1,special,Stickers,Plastic
stickerupn0011,Sticker Sheet for Set MYSTERYMACHINE-1,special,Stickers,Plastic
stickerupn0012,Sticker Sheet for Set McDR2US-1,special,Stickers,Plastic
stickerupn0013,Sticker Sheet for Set McDR3-1,special,Stickers,Plastic
stickerupn0014,Sticker Sheet for Set McDR4-1,special,Stickers,Plastic
stickerupn0015,Sticker Sheet for Set McDR6US-1,special,Stickers,Plastic
stickerupn0016,Sticker Sheet for Set McDR7US-1,special,Stickers,Plastic
stickerupn0017,Sticker Sheet for Set McDR2-1,special,Stickers,Plastic
