setNumber,name,year,numParts,imageUrl,inventoryId
0003977811-1,Ninjago: Book of Adventures,2022,1,https://cdn.rebrickable.com/media/sets/0003977811-1.jpg,206820
001-1,Gears,1965,43,https://cdn.rebrickable.com/media/sets/001-1.jpg,24696
0011-2,Town Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg,5087
0011-3,Castle 2 for 1 Bonus Offer,1987,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg,2216
0012-1,Space Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg,1414
0013-1,Space Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg,4609
0014-1,Space Mini-Figures,1982,2,https://cdn.rebrickable.com/media/sets/0014-1.jpg,163782
0015-1,Space Mini-Figures,1979,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg,12208
0016-1,Castle Mini Figures,1979,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg,13351
002-1,4.5V Samsonite Gears Motor Set,1965,3,https://cdn.rebrickable.com/media/sets/002-1.jpg,24701
003-1,Master Mechanic Set,1966,403,https://cdn.rebrickable.com/media/sets/003-1.jpg,24702
004-1,Master Builder Set,1966,817,https://cdn.rebrickable.com/media/sets/004-1.jpg,205118
005-1,Basic Building Set in Cardboard,1965,35,https://cdn.rebrickable.com/media/sets/005-1.jpg,2028
005-2,Discovery Set,1967,0,https://cdn.rebrickable.com/media/sets/005-2.jpg,24732
00-6,Special Offer,1985,0,https://cdn.rebrickable.com/media/sets/00-6.jpg,2836
00747-1,BIONICLE Quest for Makuta: Adventure Game,2001,0,https://cdn.rebrickable.com/media/sets/00747-1.jpg,321030
010-1,Basic Building Set in Cardboard,1965,57,https://cdn.rebrickable.com/media/sets/010-1.jpg,13468
010-2,Pre-School Set,1973,18,https://cdn.rebrickable.com/media/sets/010-2.jpg,175145
010-3,Basic Building Set,1968,77,https://cdn.rebrickable.com/media/sets/010-3.jpg,5080
010423-1,The Majestic Horse,2023,492,https://cdn.rebrickable.com/media/sets/010423-1.jpg,221307
