inventoryId,partNumber,color,quantity
120043,11203pr0019,15,1
120043,15573,15,2
120043,15573,14,1
120043,18674,15,1
120043,3004,14,1
120043,3022,15,2
120043,3023,71,2
120043,3068bpr0546,14,1
120043,3068bpr9735,15,1
120043,4740,2,1
120043,49307,15,8
120043,6541,226,2
120043,66788,14,2
120043,67329,15,1
120043,68211,0,1
120043,99207,15,1
120043,99207,14,1
120046,11203,15,1
120046,11211,28,1
120046,15092,72,1
120046,15573,191,1
120046,15573,19,4
120046,18654,15,2
120046,22388,15,1
120046,22961,15,4
120046,24201,191,4
120046,24246,484,2
120046,26604,191,2
120046,29119,19,1
120046,29120,19,1
120046,3005,19,1
120046,3020,19,2
120046,3020,191,1
120046,3021,191,1
120046,3021,28,1
120046,3022,191,4
120046,3022,70,4
120046,3023,15,2
120046,3023,191,7
120046,3068bpr9738,0,1
120046,3069b,191,2
120046,32000,4,1
120046,32064a,71,2
120046,32556,19,2
120046,35480,15,2
120046,3622,191,2
120046,3622pr0062,191,1
120046,36840,15,2
120046,36841,191,2
120046,4032a,484,2
120046,6091,191,4
120046,66792,15,1
120046,66857pr0010,484,1
120046,67810,0,4
120046,73230,15,2
120046,93273,191,3
120046,93273,19,3
120046,99206,27,1
120048,11211,4,2
120048,11458,71,2
120048,11477,71,6
120048,15068,4,1
120048,15068pr0052,71,1
120048,15672,71,2
120048,18649,71,1
120048,18677,4,2
120048,24201,19,3
120048,2540,71,1
120048,29119,71,2
120048,29120,71,2
120048,3020,71,1
120048,3022,71,2
120048,3023,71,2
120048,3023,308,4
120048,3024,19,1
120048,3024,71,6
120048,3049d,71,1
120048,3068bpr9718,71,1
120048,3069b,4,1
120048,3069b,19,2
120048,32803,15,2
120048,33909,4,1
120048,3623,71,2
120048,3673,71,2
120048,36841,71,2
120048,3710,71,4
120048,44861,71,1
120048,4490,71,2
120048,50950,71,2
120048,6081,71,1
120048,60897,19,2
120048,6141,19,4
120048,73831,308,2
120048,79389,71,6
120049,11211,4,2
120049,11458,71,2
120049,11477,71,4
120049,15068pr0052,71,1
120049,15672,71,2
120049,18649,71,1
120049,18677,4,2
120049,22388,182,2
120049,24201,19,3
120049,2431,71,1
120049,2540,71,1
120049,29119,71,2
120049,29120,71,2
120049,3020,71,1
120049,3022,71,2
120049,3023,71,2
120049,3023,308,5
120049,3024,19,1
120049,3024,71,4
120049,3049d,71,1
120049,3068bpr9719,71,1
120049,3069b,19,2
120049,32474,191,1
120049,32803,15,2
120049,3623,71,2
120049,3673,71,2
120049,36841,71,2
120049,3710,71,2
120049,44861,71,1
120049,4490,71,2
120049,50950,71,2
120049,6081,71,1
120049,60897,19,2
120049,6141,19,4
120049,73831,308,2
120049,79389,71,6
120049,87580,4,1
120050,4274,71,2
120050,57519,71,1
120050,67095pr0012,71,1
120051,14769,1,1
120051,15573,15,1
120051,17485pr9999,1,1
120051,28660,78,2
120051,3003pr0160,78,1
120051,3022,2,1
120051,3937,71,1
120051,4032a,15,1
120051,6134,0,1
120051,66855pr0004,15,1
120051,79750,70,1
120051,98138,4,1
120098,11476,15,4
120098,11477,27,2
