partNumber,color,imageUrl
1,15,https://cdn.rebrickable.com/media/parts/ldraw/15/1.png
1,4,https://cdn.rebrickable.com/media/parts/ldraw/4/1.png
1,14,https://cdn.rebrickable.com/media/parts/ldraw/14/1.png
1,1,https://cdn.rebrickable.com/media/parts/ldraw/1/1.png
10052,297,https://cdn.rebrickable.com/media/parts/elements/6350621.jpg
10049pr0001,1103,https://cdn.rebrickable.com/media/parts/elements/6005318.jpg
10001119,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10001119-9999-2de377d3-3d02-48bb-a03b-9789d120ede8.jpg
10057pr0001,19,https://cdn.rebrickable.com/media/parts/elements/6022591.jpg
10077546,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10077546-9999-f4567d11-e710-4899-8595-4563612996e6.jpg
100954pr0004,321,https://cdn.rebrickable.com/media/parts/elements/6444773.jpg
100811c01pr0012,288,https://cdn.rebrickable.com/media/parts/elements/6605213.jpg
10077536,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10077536-9999-067e037a-fc2a-4abe-b136-4820e8ea3076.jpg
10010492,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10010492-9999-294edb44-a0e2-4132-b4db-0310f33991dc.jpg
100811c01pr0006,78,https://cdn.rebrickable.com/media/parts/elements/6527907.jpg
100811c01pr0465,78,https://cdn.rebrickable.com/media/parts/elements/6411924.jpg
10069881,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10069881-9999-81bd2418-1207-4c44-bf5a-2481e03b86f5.jpg
10087371,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10087371-9999-5c3662d0-2d59-4479-b85b-1636ab80427f.jpg
10066310,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10066310-9999-232ad77f-c83d-495f-8397-acd844c2d80e.jpg
10010490,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10010490-9999-5c860ca3-115e-4ea1-a47a-a93898040030.jpg
10050,71,https://cdn.rebrickable.com/media/parts/elements/6608940.jpg
100559pat0002,484,https://cdn.rebrickable.com/media/parts/elements/6416763.jpg
10062,19,https://cdn.rebrickable.com/media/parts/elements/6025314.jpg
100588pat0001pr0001,323,https://cdn.rebrickable.com/media/parts/elements/6421029.jpg
10049,1103,https://cdn.rebrickable.com/media/parts/elements/6002757.jpg
10048,70,https://cdn.rebrickable.com/media/parts/elements/6002753.jpg
100729,71,https://cdn.rebrickable.com/media/parts/elements/6409541.jpg
100811c01pr0010,78,https://cdn.rebrickable.com/media/parts/elements/6593285.jpg
10061pr0001,379,https://cdn.rebrickable.com/media/parts/elements/6017023.jpg
100662pat0001pr0001,1,https://cdn.rebrickable.com/media/parts/elements/6415219.jpg
10010484,9999,https://cdn.rebrickable.com/media/parts/photos/9999/4200stk01-9999-af05f805-7653-4571-8f6b-5bcc13dfaa78.jpg
100559pat0001pr0002,484,https://cdn.rebrickable.com/media/parts/elements/6416764.jpg
10068838,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10068838-9999-88ec68e4-6c61-41b8-8df4-12be48e24521.jpg
100954pr0001,191,https://cdn.rebrickable.com/media/parts/elements/6420905.jpg
10001502,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10001502-9999-189df35c-2fbd-4029-9330-ca82647dc1be.jpg
10098711,9999,https://cdn.rebrickable.com/media/parts/photos/9999/PART-18586-9999-0e448529-7d00-4587-8773-67ee27530174.jpg
10068823,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10068823-9999-a63654ad-bf46-4028-967a-888647243c80.jpg
10052,15,https://cdn.rebrickable.com/media/parts/elements/6315564.jpg
100097,3,https://cdn.rebrickable.com/media/parts/elements/6400087.jpg
10055pr0001,308,https://cdn.rebrickable.com/media/parts/elements/6028771.jpg
10050,1063,https://cdn.rebrickable.com/media/parts/elements/6167899.jpg
10001922,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10001922-9999-c6e90787-3bd3-4e8b-8724-2522fd5cc91a.jpg
100811c01pr0005,78,https://cdn.rebrickable.com/media/parts/elements/6483133.jpg
10052,0,https://cdn.rebrickable.com/media/parts/elements/6037877.jpg
100453pr0002,323,https://cdn.rebrickable.com/media/parts/photos/323/100453pr0002-323-e66cded3-6bb1-4195-aadc-00845f7f9664.jpg
10016414,9999,https://cdn.rebrickable.com/media/parts/photos/9999/16989-9999-a4583410-a573-4f8a-8765-dd0d05b80b75.jpg
10069221,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10069221-9999-89cc1167-e5f6-403d-a5c5-e62e2c29404e.jpg
100662pat0001pr0002,15,https://cdn.rebrickable.com/media/parts/elements/6478949.jpg
10078254,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10078254-9999-11a4d1bd-1d80-456f-bbec-66a651b4da33.jpg
10048,308,https://cdn.rebrickable.com/media/parts/elements/6002754.jpg
10082535b,47,https://cdn.rebrickable.com/media/parts/photos/47/10082535b-47-32dfb815-dc5d-4d09-8f8f-830feaf80602.jpg
100452pat0001,15,https://cdn.rebrickable.com/media/parts/photos/15/100452pat0001-15-3fb4a50c-d766-45b3-b334-768e660509a6.jpg
10068859,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10068859-9999-9318bd39-d790-43bd-98e0-1b47d8b1748b.jpg
100559pat0003,484,https://cdn.rebrickable.com/media/parts/elements/6441119.jpg
10068856,9999,https://cdn.rebrickable.com/media/parts/photos/9999/PART-15842-9999-98336c40-eff9-4cd5-90de-2b3b7b860cac.jpg
100456pr0001,191,https://cdn.rebrickable.com/media/parts/elements/6405238.jpg
10001509,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10001509-9999-75e9af5a-5f3d-46f5-a53b-b5f258d9d964.jpg
10063,19,https://cdn.rebrickable.com/media/parts/photos/19/10063-19-51717f22-a8a7-4f8a-9e51-4d1df829054f.jpg
10061,19,https://cdn.rebrickable.com/media/parts/elements/6025321.jpg
10052,71,https://cdn.rebrickable.com/media/parts/elements/6002762.jpg
100811c01pr0002,78,https://cdn.rebrickable.com/media/parts/elements/6439800.jpg
10077587,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10077587-9999-1d7b8c89-e67e-431b-a083-3229b7a16f72.jpg
10084111,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10084111-9999-a0ba94d0-b292-4461-a928-ac6eb6b88f41.jpg
10077547,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10077547-9999-312948ab-b8ea-40b8-aa94-eb65fb433cc2.jpg
10077560,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10077560-9999-3e36775d-aac9-48f9-bf70-4327f272f8cc.jpg
10010493,9999,https://cdn.rebrickable.com/media/parts/photos/9999/10010493-9999-c1d1f502-608d-4013-b592-587dea1c2d4c.jpg
