partNumber,color,imageUrl
dupupn0118pr0001,4,https://cdn.rebrickable.com/media/parts/photos/4/dupupn0118pr0001-4-bea8d898-a79f-4b89-952b-09b4f5d20af7.jpg
dupupn0049c05pr0001,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0049c05pr0001-14-ce6ec607-c97d-4fde-8a53-29204f798953.jpg
dupupn0026,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0026-14-74c77df7-88f2-482e-bf83-04eaede79375.jpg
dupupn0120,9999,https://cdn.rebrickable.com/media/parts/photos/9999/b12dup01-9999-b4691bab-40f2-4ef8-b99f-6a8c7e3410a9.jpg
dupfig0010pr0001,1,https://cdn.rebrickable.com/media/parts/photos/1/dupfig0010pr0001-1-30549ef0-de78-4aed-81db-930683d2437d.jpg
dupupn0144,9999,https://cdn.rebrickable.com/media/parts/photos/9999/dupupn0144-9999-fb9d17dc-f33b-41b5-afdf-736cd475b88a.jpg
dupupn0006c01,1,https://cdn.rebrickable.com/media/parts/photos/1/dplane2-1-d68201e9-4e6e-4de5-98c7-a09b46fa0eab.jpg
dupupn0100pr0005,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0100pr0005-14-479c26cf-c167-45bc-afb1-3dd5f250ee32.jpg
dupfig0013pr0002,1,https://cdn.rebrickable.com/media/parts/photos/1/dupfig013-1-d3a0a430-3432-4449-ac40-dbe34c333c57.jpg
dupupn0049c03pr0002,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0049c03pr0002-14-ea4c15ac-9d54-4c84-b690-47543f13c38c.jpg
dupfig0007pr0002,1,https://cdn.rebrickable.com/media/parts/photos/1/dupfig027-1-1e0ab3d7-ba92-4074-8520-1ea14b386846.jpg
dupfig0017,125,https://cdn.rebrickable.com/media/parts/photos/125/dupfig0017-125-0652d085-f71e-4da7-8bad-b8bb687abc2d.jpg
dupupn0118pr0004,1,https://cdn.rebrickable.com/media/parts/photos/1/x979pr0004-1-f5989b56-97c3-4a47-8623-395987e38bdc.jpg
dupupn0118pr0003,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0118pr0003-14-7353b7c1-2ed1-4a25-ad7e-76c421b2b0d6.jpg
dupupn0121,9999,https://cdn.rebrickable.com/media/parts/photos/9999/b12dup02-9999-2c8d9c3e-4ff2-442c-9497-0e21dc326158.jpg
dupupn0118,4,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0118-14-c3335e93-beea-4cf6-9511-7c152d8c82a6.jpg
dupupn0118pr0005,1,https://cdn.rebrickable.com/media/parts/photos/1/dupupn0118pr0005-1-d88a150a-54fb-479c-8497-1425116497c9.jpg
dupupn0089c02,4,https://cdn.rebrickable.com/media/parts/photos/4/dupupn0089c02-4-d37768a8-abf0-4c30-bfb6-385d3bf3ec17.jpg
dupupn0017,14,https://cdn.rebrickable.com/media/parts/photos/1/dupupn0017-1-9433342a-693e-4ab5-8828-b167732cb551.jpg
dupupn0062c01,1,https://cdn.rebrickable.com/media/parts/photos/1/dupupn0062c01-1-988549d3-9236-45ff-8df3-b5e3c941a872.jpg
dupupn0037,4,https://cdn.rebrickable.com/media/parts/photos/4/dupupn0037-4-1fdb641e-8938-4374-9021-c5faf3215a5b.jpg
dupupn0012,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0012-14-e5f0b18a-57c6-4c87-aeeb-aec606c88ee9.jpg
dupupn0031,6,https://cdn.rebrickable.com/media/parts/photos/6/dupupn0031-6-7e9b653a-9c1d-436c-ae29-3f89835eec30.jpg
dupupn0122,9999,https://cdn.rebrickable.com/media/parts/photos/9999/b12dup03-9999-68babd99-d9ac-415c-a372-8ffd739c854f.jpg
dupupn0119,4,https://cdn.rebrickable.com/media/parts/photos/4/x988-4-d7f80028-ecb5-4542-ab8e-e13c1f2b0423.jpg
dupfig0013pr0001,1,https://cdn.rebrickable.com/media/parts/photos/1/dupfig009-1-d32a545c-f635-40a3-b51e-d05b7deeaa6c.jpg
dupupn0101c01,4,https://cdn.rebrickable.com/media/parts/photos/4/dupupn0101c01-4-1b039404-5cb0-4b2c-bf01-fce65b2677b8.jpg
dupupn0077,272,https://cdn.rebrickable.com/media/parts/photos/272/dupupn0077-272-af52cd24-a6bb-4d0e-843a-703460508331.jpg
dupupn0023,14,https://cdn.rebrickable.com/media/parts/photos/14/dupupn0023-14-02987c3c-b887-4f2e-8f83-25b42ac8a685.jpg
dupupn0062c05,4,https://cdn.rebrickable.com/media/parts/photos/4/dupupn0062c05-4-8ae05535-1718-4c67-a730-d544a4183cdd.jpg
