partNumber,color,imageUrl
fabupn0026,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u686.png
fabupn0041,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9204c01.png
fabupn0041,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u9204c01.png
fabfig0018c06pr0001,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u9147p03c02.png
fabupn0004c01,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9310c08.png
fabfig0009c01pr0001,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u588p01c05.png
fabupn0004c02,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u9310c06.png
fabupn0030,14,https://cdn.rebrickable.com/media/parts/ldraw/14/3998a.png
fabupn0038,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u608.png
fabupn0007,14,https://cdn.rebrickable.com/media/parts/ldraw/14/4206.png
fabfig0001c08pr0002,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u9107p05c03.png
fabupn0022,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u9165.png
fabupn0018,15,https://cdn.rebrickable.com/media/parts/photos/15/fabeg2-15-5d6ef840-b2cb-4a95-a391-6f808b7c50ed.jpg
fabfig0018c05pr0001,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u9147p01c06.png
fabfig0016c08pr0001,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u595p01c09.png
fabfig0004c03pr0001,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u9108p01c03.png
fabfig0017c03pr0001,0,https://cdn.rebrickable.com/media/parts/ldraw/0/u9105p01c02.png
fabfig0017c02pr0001,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u9105p01c03.png
fabupn0040pr0001,1,https://cdn.rebrickable.com/media/parts/photos/1/fabupn0040pr0001-1-cd2be63f-27cf-4886-a233-9aaf833efc71.jpg
fabfig0016c07pr0001,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u595p01c04.png
fabfig0012c01pr0002,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9109p02c02.png
fabfig0020c02pr0001,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u9151p01c04.png
fabupn0039,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u609.png
fabfig0022,0,https://cdn.rebrickable.com/media/parts/photos/0/fabfig0002-0-e4a5abb2-a71f-4789-b412-aaa57d4989bb.jpg
fabupn0027,366,https://cdn.rebrickable.com/media/parts/ldraw/366/u606.png
fabupn0011,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9371.png
fabfig0007c03pr0001,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u586p02c04.png
fabfig0020c01pr0001,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u9151p01c03.png
fabupn0010c01,450,https://cdn.rebrickable.com/media/parts/ldraw/450/u9155c01.png
fabupn0005c04,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u9310c04.png
fabupn0024,15,https://cdn.rebrickable.com/media/parts/ldraw/15/u669.png
fabfig0002c03pr0001,4,https://cdn.rebrickable.com/media/parts/ldraw/4/u9142p01c08.png
fabupn0039,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u609.png
fabupn0008,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9215.png
fabfig0001c04pr0001,0,https://cdn.rebrickable.com/media/parts/ldraw/0/u9107p03c02.png
fabfig0017c05pr0001,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u9105p01c05.png
fabfig0017c04pr0001,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u9105p03c02.png
fabupn0030,4,https://cdn.rebrickable.com/media/parts/ldraw/4/3998a.png
fabupn0032,4,https://cdn.rebrickable.com/media/parts/ldraw/4/4468.png
fabfig0013c04pr0001,0,https://cdn.rebrickable.com/media/parts/ldraw/0/u592p01c02.png
fabfig0020c02pr0002,1,https://cdn.rebrickable.com/media/parts/ldraw/1/u9151p02c03.png
fabfig0013c01pr0001,14,https://cdn.rebrickable.com/media/parts/ldraw/14/u592p01c03.png
