partNumber,color,imageUrl
penupn0006pr0025,4,https://cdn.rebrickable.com/media/parts/photos/4/PART-11744-4-3dee2f43-1db0-4b76-8433-3c83a8fdcc83.jpg
penupn0036c04,14,https://cdn.rebrickable.com/media/parts/photos/14/penupn0036c04-14-c01e0b21-979b-4b6a-9a61-f21b68d9d47c.jpg
penupn0010,0,https://cdn.rebrickable.com/media/parts/photos/110/penupn0010-110-3f195839-8e32-42cb-b82f-924a4b722a4d.jpg
penupn0006,52,https://cdn.rebrickable.com/media/parts/photos/52/penupn0006-52-bf2d7ab6-1a63-47e4-bbef-046d43ed658c.jpg
penupn0004,226,https://cdn.rebrickable.com/media/parts/photos/1/penupn0004-1-0a822a74-5021-43a0-bdeb-649852ee370a.jpg
penupn0004,378,https://cdn.rebrickable.com/media/parts/photos/378/penupn0004-378-8f163a58-ae73-459b-82d2-7ce8b108bfb1.jpg
penupn0004pr0041,7,https://cdn.rebrickable.com/media/parts/photos/7/PART-11717-7-a87a4b2b-0c8d-4fd8-a90e-bf7b36f2382c.jpg
penupn9976,351,https://cdn.rebrickable.com/media/parts/photos/351/penupn9976-351-e9d1e30e-74d2-4416-a9fa-8a7079c2c918.jpg
penupn0005,8,https://cdn.rebrickable.com/media/parts/photos/7/penupn0005-7-26d37abe-3ca1-415f-bb86-5a82e02f241f.jpg
penupn0036c03,41,https://cdn.rebrickable.com/media/parts/photos/41/penupn0036c03-41-ac12fa34-8b73-4b96-be50-56a04cbcc0c5.jpg
penupn0033,25,https://cdn.rebrickable.com/media/parts/photos/25/PART-11924-25-3c6425aa-83bd-4570-bc52-9331196663c1.jpg
penupn0003,135,https://cdn.rebrickable.com/media/parts/photos/179/penupn0003-179-a3290400-c983-47c6-a3d1-4dd016c20dcd.jpg
penupn9976,7,https://cdn.rebrickable.com/media/parts/photos/1001/penupn0033-1001-6cd148e3-205d-451e-b3e1-be3929e0864c.jpg
penupn0006,1,https://cdn.rebrickable.com/media/parts/photos/1/penupn0006-1-c0d01098-46d9-4c3f-8c97-391a3b5d1764.jpg
penupn0004pr0009,15,https://cdn.rebrickable.com/media/parts/photos/15/penupn0004pr0009-15-56a1635b-51c1-42bb-af0b-d97a2ecbbb6e.jpg
penupn0003pr0017,25,https://cdn.rebrickable.com/media/parts/photos/25/PART-11745-25-0943e4a8-acbc-4beb-bbfb-e019dd9c2a51.jpg
penupn0008,1,https://cdn.rebrickable.com/media/parts/photos/1/penupn0008-1-9f3ac3a1-0259-4972-bece-7ece0193eeb0.jpg
penupn0006,1144,https://cdn.rebrickable.com/media/parts/photos/47/penupn0006-47-cf2c3bc8-6489-4906-aa7e-31048d32b978.jpg
penupn0004pr0029,14,https://cdn.rebrickable.com/media/parts/photos/14/penupn0004-14-ec167cf3-7f43-4d54-b194-93275a0cdf2f.jpg
penupn0004pr0106,73,https://cdn.rebrickable.com/media/parts/photos/73/penupn0004pr0106-73-88f7c7b9-47dd-4dec-95f2-89af3971f43f.jpg
penupn0004pr0005,4,https://cdn.rebrickable.com/media/parts/photos/0/PART-11643-0-47d46d46-7b53-4128-a7b9-49285c8cff91.jpg
penupn0004pr0095,0,https://cdn.rebrickable.com/media/parts/photos/0/penupn0004pr0095-0-d46d121b-b328-4141-b258-3db36b4a877e.jpg
penupn0036c04,25,https://cdn.rebrickable.com/media/parts/photos/25/penupn0036c04-25-67d2b677-51d8-45ed-9aa8-18f0753b42b5.jpg
penupn0036c17,178,https://cdn.rebrickable.com/media/parts/photos/178/penupn0036c17-178-8eb9edd7-881d-427c-9ccb-a066710d8ff8.jpg
penupn0004pr0031,2,https://cdn.rebrickable.com/media/parts/photos/2/PART-11699-2-f7d8d6a6-9a1b-47b7-82f8-b633ce85d181.jpg
penupn0003,379,https://cdn.rebrickable.com/media/parts/photos/4/penupn0003-4-5e3ca544-7066-4062-93c8-b11da4686ac2.jpg
penupn0004pr0115,15,https://cdn.rebrickable.com/media/parts/photos/15/PART-11968-15-25c3e75a-86a7-435a-b9c2-93c694d1d09d.jpg
penupn0036c06,85,https://cdn.rebrickable.com/media/parts/photos/85/penupn0036c06-85-67fa7e8c-b448-4b3a-9d03-4050b48a5ed4.jpg
penupn0018,2,https://cdn.rebrickable.com/media/parts/photos/2/penupn0018-2-e26ff0b0-7939-48c3-a833-6d8bd1d52db9.jpg
penupn0004pr0071,14,https://cdn.rebrickable.com/media/parts/photos/14/penupn0004-14-ec167cf3-7f43-4d54-b194-93275a0cdf2f.jpg
penupn0005,2,https://cdn.rebrickable.com/media/parts/photos/7/penupn0005-7-26d37abe-3ca1-415f-bb86-5a82e02f241f.jpg
penupn0006,33,https://cdn.rebrickable.com/media/parts/photos/33/penupn0006-33-b005099e-e552-418c-b6d1-25b787a2a09f.jpg
penupn0005,0,https://cdn.rebrickable.com/media/parts/photos/0/penupn0005-0-2546c7b1-5af3-430c-b086-3f09272b0ca4.jpg
penupn0006pr0009,14,https://cdn.rebrickable.com/media/parts/photos/14/penupn0006pr0009-14-42724547-ab2d-4690-b5c5-9c87c50af34c.jpg
penupn0045pr0001,78,https://cdn.rebrickable.com/media/parts/photos/14/PART-11846-14-db505dce-9075-4e7a-b492-43c93fcb269a.jpg
